Device: CPU
Non-viral pool: 9247 | OOD viral (fixed): 1025

============================================================
SATURATION RUN: n500_seed42
============================================================
  n_train=450  n_val=50  n_ood=1025  kingdoms=5

Training kestrel_n500_seed42 (2,185,578 params)
  Ep      Trn      Val      Rg      nu       Δ    geff
   5   0.4805   0.4108   0.786   0.044   0.091   0.882
   6   0.5213   0.3830   0.592   0.182   0.291   0.875
   7   0.4729   0.3565   0.823   0.182   0.269   0.887
   8   0.4725   0.3429   0.799   0.108   0.257   0.924
   9   0.4202   0.3386   0.767   0.109   0.259   0.899
  10   0.4077   0.3553   0.794   0.139   0.266   0.829
  11   0.4785   0.3443   0.748   0.158   0.306   0.882
  12   0.3886   0.3497   0.674   0.069   0.200   0.902
  13   0.3770   0.3330   0.772   0.086   0.199   0.928
  14   0.3921   0.3741   0.656   0.040   0.171   0.873
  15   0.3530   0.3591   0.624   0.042   0.175   0.909
  16   0.3963   0.3982   0.799   0.162   0.288   0.772
  17   0.4079   0.4064   0.723   0.126   0.250   0.852
  18   0.4213   0.3882   0.738   0.098   0.179   0.929
  19   0.3738   0.3630   0.823   0.180   0.317   0.887
  20   0.3805   0.3606   0.679   0.093   0.272   0.897
  21   0.4819   0.3401   0.754   0.074   0.238   0.932
  22   0.4112   0.3883   0.727  -0.064   0.031   0.911
  23   0.3495   0.3379   0.673   0.101   0.261   0.924
  24   0.4394   0.3087   0.849   0.133   0.289   0.930
  25   0.3256   0.3755   0.578   0.012   0.159   0.920
  26   0.3575   0.3196   0.714   0.131   0.279   0.922
  27   0.3209   0.3848   0.791   0.185   0.305   0.904
  28   0.3677   0.3443   0.816   0.163   0.214   0.913
  29   0.3864   0.3578   0.709   0.126   0.234   0.914
  30   0.3719   0.3432   0.686   0.122   0.248   0.920
  31   0.3012   0.3319   0.639   0.170   0.295   0.912
  32   0.3110   0.3595   0.676   0.157   0.209   0.908
  33   0.3037   0.3022   0.725   0.250   0.201   0.927
  34   0.3074   0.5181   0.613  -0.571   0.104   0.888
  35   0.3196   0.3420   0.730   0.117   0.221   0.918
  36   0.2671   0.4012   0.580   0.002   0.275   0.910
  37   0.2549   0.3561   0.681   0.084   0.001   0.916
  38   0.2764   0.2952   0.738   0.351   0.355   0.926
  39   0.2440   0.3663   0.747   0.009   0.186   0.921
  40   0.2205   0.3073   0.698   0.222   0.269   0.908
  41   0.2283   0.2979   0.728   0.271   0.288   0.901
  42   0.2301   0.2764   0.741   0.322   0.351   0.934
  43   0.2176   0.3026   0.674   0.263   0.304   0.904
  44   0.2298   0.3383   0.640   0.175   0.283   0.905
  45   0.2102   0.4260   0.686  -0.209  -0.038   0.925
  46   0.2331   0.2456   0.842   0.409   0.443   0.929
  47   0.2092   0.2543   0.794   0.440   0.467   0.931
  48   0.2054   0.3890   0.652   0.085   0.228   0.830
  49   0.2113   0.3091   0.728   0.161   0.185   0.917
  50   0.1842   0.3046   0.609   0.280   0.342   0.922
  51   0.1907   0.2843   0.768   0.282   0.319   0.932
  52   0.1901   0.2919   0.784   0.221   0.371   0.921
  53   0.1843   0.2750   0.704   0.379   0.438   0.876
  54   0.1699   0.3239   0.681   0.186   0.260   0.883
  55   0.1859   0.3276   0.724   0.162   0.229   0.929
  56   0.1935   0.3246   0.628   0.188   0.184   0.906
  57   0.1943   0.2939   0.707   0.285   0.267   0.931
  58   0.1751   0.2806   0.774   0.342   0.395   0.915
  59   0.2609   0.2961   0.760   0.281   0.316   0.918
  60   0.1627   0.2567   0.746   0.386   0.456   0.902
  61   0.1590   0.2991   0.716   0.236   0.273   0.911
  62   0.1524   0.2651   0.741   0.341   0.381   0.934
  63   0.1781   0.2561   0.802   0.382   0.441   0.932
  64   0.1566   0.2662   0.754   0.352   0.426   0.906
  65   0.1389   0.3285   0.649   0.142   0.205   0.918
  66   0.1391   0.2486   0.813   0.375   0.419   0.945
  67   0.1486   0.2689   0.792   0.317   0.383   0.939
  68   0.1672   0.2491   0.819   0.445   0.434   0.933
  69   0.1658   0.3069   0.753   0.223   0.358   0.909
  70   0.1618   0.2746   0.723   0.300   0.382   0.934
  71   0.1471   0.3434   0.645   0.065   0.198   0.927
  72   0.1645   0.2829   0.741   0.278   0.446   0.918
  73   0.1297   0.2992   0.718   0.250   0.367   0.921
  74   0.1258   0.2628   0.804   0.356   0.412   0.941
  75   0.1305   0.2747   0.782   0.337   0.421   0.903
  76   0.1230   0.2853   0.823   0.285   0.357   0.936
  77   0.1234   0.3006   0.705   0.259   0.275   0.926
  78   0.1175   0.2998   0.694   0.270   0.282   0.933
  79   0.1349   0.2570   0.857   0.386   0.416   0.942
  80   0.1437   0.2819   0.792   0.354   0.362   0.912
  81   0.1341   0.2990   0.750   0.312   0.297   0.931
  82   0.1162   0.2528   0.791   0.426   0.513   0.926
  83   0.1020   0.2701   0.789   0.329   0.400   0.933
  84   0.1012   0.2844   0.786   0.289   0.364   0.934
  85   0.1022   0.2557   0.817   0.387   0.410   0.944
  86   0.1123   0.2925   0.796   0.246   0.331   0.931
  87   0.1066   0.2808   0.760   0.298   0.277   0.936
  88   0.1180   0.2694   0.822   0.299   0.378   0.948
  89   0.1037   0.2692   0.712   0.350   0.439   0.935
  90   0.0981   0.2793   0.820   0.254   0.374   0.946
  91   0.0958   0.2704   0.759   0.322   0.383   0.939
  92   0.0952   0.2525   0.852   0.374   0.460   0.945
  93   0.1017   0.2951   0.745   0.283   0.346   0.928
Early stop @ ep 93

  OOD R² — nu=0.4928  rg=0.8172  A0=nan

============================================================
SATURATION RUN: n2000_seed42
============================================================
  n_train=1800  n_val=200  n_ood=1025  kingdoms=5

Training kestrel_n2000_seed42 (2,185,578 params)
  Ep      Trn      Val      Rg      nu       Δ    geff
───────────────────────────────────────────────────────
   1   0.7673   0.5192   0.658   0.022  -0.033   0.869
   2   0.6290   0.4059   0.811   0.087   0.139   0.906
   3   0.5545   0.4183   0.806   0.041   0.090   0.925
   4   0.5360   0.4075   0.766   0.124   0.174   0.902
   5   0.4850   0.3656   0.829   0.145   0.234   0.884
   6   0.4743   0.3467   0.819   0.157   0.215   0.921
   7   0.4106   0.3430   0.861   0.136   0.180   0.938
   8   0.4025   0.3285   0.850   0.160   0.238   0.930
   9   0.3912   0.3637   0.834   0.153   0.232   0.942
  10   0.3905   0.3547   0.838   0.126   0.180   0.913
  11   0.3900   0.3688   0.841   0.174   0.286   0.927
  12   0.4267   0.3281   0.865   0.146   0.243   0.946
  13   0.3957   0.3208   0.825   0.169   0.252   0.901
  14   0.3755   0.3089   0.838   0.190   0.275   0.925
  15   0.3556   0.3229   0.852   0.186   0.218   0.926
  16   0.3791   0.3324   0.835   0.162   0.232   0.923
  17   0.4146   0.4634   0.789   0.234   0.256   0.874
  18   0.3649   0.3476   0.834   0.258   0.285   0.932
  19   0.3203   0.3097   0.841   0.245   0.255   0.935
  20   0.2970   0.3542   0.835   0.256   0.281   0.904
  21   0.3293   0.3246   0.861   0.294   0.322   0.945
  22   0.3384   0.3156   0.852   0.218   0.261   0.945
  23   0.2953   0.3855   0.711  -0.037   0.131   0.909
  24   0.2801   0.3342   0.844   0.148   0.134   0.929
  25   0.3105   0.2783   0.858   0.308   0.318   0.928
  26   0.2863   0.2845   0.826   0.254   0.301   0.945
  27   0.2791   0.2635   0.876   0.364   0.398   0.939
  28   0.2492   0.3917   0.790  -0.069   0.129   0.894
  29   0.2454   0.2847   0.822   0.312   0.353   0.941
  30   0.2385   0.2750   0.868   0.363   0.376   0.950
  31   0.2270   0.3315   0.829   0.295   0.167   0.934
  32   0.2432   0.2473   0.886   0.409   0.402   0.959
  33   0.2403   0.3069   0.907   0.313   0.352   0.945
  34   0.2149   0.2846   0.895   0.235   0.397   0.929
  35   0.2023   0.2893   0.883   0.214   0.341   0.951
  36   0.2024   0.2454   0.898   0.454   0.474   0.907
  37   0.1975   0.2667   0.904   0.459   0.464   0.913
  38   0.1965   0.2649   0.889   0.423   0.429   0.918
  39   0.2045   0.3245   0.892   0.137   0.358   0.929
  40   0.2086   0.2653   0.737   0.412   0.471   0.952
  41   0.1891   0.2878   0.880   0.235   0.421   0.899
  42   0.1862   0.2149   0.894   0.522   0.543   0.952
  43   0.1612   0.2895   0.923   0.188   0.367   0.954
  44   0.1603   0.2283   0.918   0.434   0.503   0.961
  45   0.1726   0.1992   0.872   0.598   0.579   0.951
  46   0.1483   0.2133   0.899   0.537   0.536   0.962
  47   0.1435   0.2110   0.904   0.517   0.537   0.959
  48   0.1526   0.2270   0.928   0.521   0.552   0.960
  49   0.1437   0.1923   0.922   0.558   0.576   0.940
  50   0.1375   0.2000   0.941   0.572   0.582   0.957
  51   0.1353   0.1799   0.916   0.644   0.571   0.966
  52   0.1395   0.2011   0.921   0.576   0.619   0.927
  53   0.1354   0.2180   0.911   0.458   0.530   0.963
  54   0.1363   0.2102   0.927   0.497   0.561   0.968
  55   0.1345   0.1919   0.933   0.613   0.560   0.943
  56   0.1315   0.2060   0.933   0.570   0.583   0.954
  57   0.1345   0.1912   0.917   0.582   0.601   0.966
  58   0.1235   0.1916   0.919   0.589   0.641   0.957
  59   0.1252   0.1766   0.919   0.625   0.609   0.957
  60   0.1305   0.1813   0.922   0.589   0.586   0.966
  61   0.1176   0.1729   0.946   0.639   0.650   0.959
  62   0.1299   0.1565   0.949   0.696   0.673   0.968
  63   0.1081   0.1590   0.945   0.669   0.674   0.968
  64   0.1091   0.1729   0.924   0.666   0.675   0.959
  65   0.1104   0.1645   0.934   0.666   0.656   0.964
  66   0.1068   0.1654   0.953   0.646   0.650   0.964
  67   0.1064   0.1628   0.947   0.644   0.662   0.968
  68   0.1015   0.1668   0.942   0.649   0.658   0.965
  69   0.1020   0.1701   0.946   0.611   0.635   0.969
  70   0.1057   0.1713   0.945   0.636   0.639   0.973
  71   0.0981   0.1684   0.946   0.669   0.659   0.964
  72   0.0982   0.1723   0.932   0.634   0.645   0.963
  73   0.0984   0.1601   0.944   0.700   0.659   0.955
  74   0.0983   0.1630   0.938   0.682   0.671   0.959
  75   0.0933   0.1713   0.912   0.653   0.626   0.969
  76   0.0914   0.1730   0.932   0.637   0.640   0.967
  77   0.0951   0.1629   0.928   0.669   0.657   0.973
  78   0.0886   0.1582   0.944   0.675   0.665   0.972
  79   0.0884   0.1618   0.928   0.683   0.649   0.970
  80   0.0858   0.1577   0.948   0.686   0.689   0.966
  81   0.0900   0.1578   0.946   0.684   0.671   0.972
  82   0.0870   0.1587   0.953   0.668   0.665   0.971
  83   0.0872   0.1576   0.942   0.697   0.664   0.972
  84   0.0829   0.1569   0.946   0.690   0.659   0.969
  85   0.0864   0.1582   0.945   0.704   0.690   0.972
  86   0.0881   0.1575   0.934   0.696   0.666   0.974
  87   0.0846   0.1580   0.940   0.697   0.643   0.967
  88   0.0851   0.1604   0.941   0.669   0.657   0.974
  89   0.0841   0.1692   0.918   0.661   0.658   0.973
  90   0.0833   0.1515   0.942   0.706   0.653   0.974
  91   0.0818   0.1532   0.956   0.703   0.666   0.972
  92   0.0836   0.1581   0.903   0.701   0.679   0.967
  93   0.0799   0.1465   0.944   0.735   0.705   0.970
  94   0.0836   0.1472   0.952   0.729   0.697   0.977
  95   0.0813   0.1552   0.931   0.701   0.661   0.972
  96   0.0768   0.1575   0.947   0.690   0.647   0.968
  97   0.0742   0.1502   0.944   0.719   0.703   0.974
  98   0.0781   0.1431   0.947   0.740   0.707   0.974
  99   0.0782   0.1513   0.939   0.715   0.669   0.974
 100   0.0751   0.1441   0.954   0.731   0.683   0.977
 101   0.0798   0.1566   0.928   0.697   0.683   0.974
 102   0.0776   0.1554   0.937   0.712   0.665   0.972
 103   0.0770   0.1511   0.940   0.714   0.659   0.963
 104   0.0743   0.1413   0.950   0.743   0.714   0.969
 105   0.0740   0.1420   0.936   0.749   0.700   0.974
 106   0.0713   0.1447   0.957   0.725   0.684   0.977
 107   0.0709   0.1445   0.934   0.732   0.705   0.976
 108   0.0733   0.1393   0.961   0.728   0.710   0.979
 109   0.0712   0.1459   0.952   0.706   0.671   0.977
 110   0.0688   0.1465   0.954   0.741   0.705   0.977
 111   0.0751   0.1465   0.953   0.727   0.703   0.977
 112   0.0738   0.1504   0.941   0.714   0.662   0.971
 113   0.0707   0.1476   0.950   0.719   0.697   0.976
 114   0.0722   0.1452   0.943   0.733   0.700   0.974
 115   0.0667   0.1440   0.934   0.745   0.705   0.970
 116   0.0654   0.1454   0.948   0.744   0.686   0.965
 117   0.0696   0.1447   0.950   0.756   0.708   0.970
 118   0.0680   0.1579   0.936   0.721   0.663   0.974
 119   0.0666   0.1472   0.949   0.743   0.706   0.974
 120   0.0648   0.1381   0.957   0.747   0.694   0.975
 121   0.0657   0.1392   0.954   0.752   0.702   0.974
 122   0.0634   0.1454   0.950   0.730   0.683   0.974
 123   0.0628   0.1403   0.953   0.746   0.697   0.977
 124   0.0656   0.1414   0.954   0.746   0.692   0.974
 125   0.0620   0.1429   0.952   0.734   0.676   0.977
 126   0.0655   0.1405   0.950   0.745   0.700   0.978
 127   0.0614   0.1408   0.960   0.748   0.693   0.976
 128   0.0640   0.1409   0.956   0.742   0.693   0.977
 129   0.0628   0.1411   0.955   0.748   0.686   0.977
 130   0.0626   0.1403   0.965   0.744   0.705   0.978
 131   0.0597   0.1442   0.955   0.740   0.698   0.978
 132   0.0600   0.1414   0.953   0.743   0.679   0.974
 133   0.0595   0.1386   0.955   0.754   0.700   0.974
 134   0.0612   0.1439   0.951   0.747   0.695   0.974
 135   0.0593   0.1376   0.950   0.760   0.702   0.974
 136   0.0591   0.1465   0.962   0.754   0.679   0.967
 137   0.0611   0.1419   0.955   0.745   0.673   0.973
 138   0.0589   0.1408   0.964   0.747   0.686   0.974
 139   0.0586   0.1465   0.959   0.734   0.671   0.975
 140   0.0586   0.1452   0.956   0.743   0.684   0.975
 141   0.0571   0.1444   0.957   0.748   0.684   0.970
 142   0.0576   0.1423   0.954   0.746   0.667   0.977
 143   0.0572   0.1418   0.962   0.741   0.663   0.976
 144   0.0581   0.1399   0.960   0.753   0.683   0.976
 145   0.0574   0.1395   0.961   0.752   0.687   0.975
 146   0.0574   0.1390   0.963   0.754   0.681   0.975
 147   0.0555   0.1395   0.959   0.759   0.696   0.974
 148   0.0554   0.1364   0.961   0.761   0.697   0.976
 149   0.0560   0.1400   0.958   0.756   0.683   0.977
 150   0.0543   0.1405   0.955   0.761   0.694   0.968
 151   0.0557   0.1383   0.965   0.760   0.693   0.977
 152   0.0558   0.1398   0.957   0.758   0.692   0.976
 153   0.0540   0.1409   0.957   0.755   0.694   0.974
 154   0.0536   0.1407   0.958   0.749   0.681   0.975
 155   0.0525   0.1441   0.948   0.747   0.677   0.975
 156   0.0543   0.1428   0.957   0.752   0.683   0.973
 157   0.0528   0.1409   0.955   0.756   0.691   0.972
 158   0.0524   0.1443   0.958   0.750   0.685   0.975
 159   0.0534   0.1406   0.956   0.755   0.685   0.974
 160   0.0526   0.1426   0.953   0.753   0.684   0.975
 161   0.0532   0.1434   0.952   0.747   0.675   0.974
 162   0.0513   0.1427   0.952   0.754   0.679   0.974
 163   0.0552   0.1394   0.958   0.758   0.694   0.976
 164   0.0541   0.1434   0.952   0.749   0.691   0.974
 165   0.0524   0.1410   0.960   0.752   0.687   0.977
 166   0.0532   0.1412   0.956   0.758   0.688   0.974
 167   0.0511   0.1406   0.955   0.759   0.696   0.975
 168   0.0509   0.1421   0.958   0.753   0.685   0.974
 169   0.0508   0.1424   0.956   0.754   0.686   0.974
 170   0.0513   0.1412   0.957   0.755   0.690   0.976
 171   0.0510   0.1413   0.957   0.751   0.688   0.976
 172   0.0503   0.1425   0.958   0.750   0.679   0.975
 173   0.0535   0.1421   0.958   0.752   0.686   0.975
Early stop @ ep 173

  OOD R² — nu=0.5763  rg=0.8777  A0=nan

============================================================
SATURATION RUN: n5000_seed42
============================================================
  n_train=4500  n_val=500  n_ood=1025  kingdoms=5

Training kestrel_n5000_seed42 (2,185,578 params)
  Ep      Trn      Val      Rg      nu       Δ    geff
───────────────────────────────────────────────────────
   1   0.6755   0.4981   0.741   0.114   0.178   0.889
   2   0.5138   0.3849   0.789   0.196   0.277   0.944
   3   0.4531   0.3956   0.773   0.192   0.269   0.921
   4   0.4538   0.3801   0.789   0.223   0.305   0.913
   5   0.4241   0.3930   0.763   0.223   0.306   0.919
   6   0.4079   0.3836   0.779   0.181   0.308   0.858
   7   0.4090   0.4396   0.761   0.282   0.328   0.874
   8   0.3945   0.3347   0.807   0.347   0.375   0.941
   9   0.3538   0.3179   0.799   0.374   0.378   0.946
  10   0.3308   0.3345   0.792   0.372   0.380   0.921
  11   0.3164   0.2751   0.824   0.476   0.476   0.954
  12   0.2997   0.2998   0.826   0.426   0.452   0.887
  13   0.2747   0.2411   0.844   0.566   0.557   0.944
  14   0.2597   0.2714   0.842   0.470   0.490   0.941
  15   0.2486   0.2590   0.866   0.545   0.553   0.965
  16   0.2251   0.2115   0.885   0.634   0.607   0.971
  17   0.2108   0.2214   0.889   0.592   0.588   0.964
  18   0.2038   0.1872   0.877   0.699   0.664   0.973
  19   0.1885   0.2300   0.896   0.544   0.589   0.977
  20   0.1843   0.2122   0.886   0.634   0.593   0.957
  21   0.1826   0.2039   0.896   0.624   0.627   0.959
  22   0.1631   0.1825   0.897   0.769   0.712   0.964
  23   0.1579   0.1842   0.911   0.699   0.692   0.974
  24   0.1563   0.1971   0.911   0.726   0.706   0.950
  25   0.1438   0.1870   0.907   0.722   0.675   0.969
  26   0.1375   0.1640   0.913   0.752   0.735   0.965
  27   0.1329   0.1839   0.909   0.677   0.650   0.974
  28   0.1375   0.2381   0.885   0.508   0.567   0.950
  29   0.1333   0.1704   0.895   0.779   0.733   0.959
  30   0.1259   0.1796   0.888   0.732   0.701   0.961
  31   0.1264   0.1744   0.904   0.740   0.700   0.966
  32   0.1221   0.1738   0.917   0.729   0.699   0.976
  33   0.1210   0.1722   0.898   0.730   0.712   0.977
  34   0.1152   0.1483   0.910   0.807   0.748   0.980
  35   0.1112   0.1596   0.905   0.771   0.752   0.975
  36   0.1155   0.1572   0.909   0.781   0.739   0.977
  37   0.1146   0.1867   0.889   0.655   0.667   0.977
  38   0.1105   0.1733   0.869   0.776   0.703   0.977
  39   0.1082   0.1471   0.898   0.825   0.772   0.979
  40   0.1082   0.1833   0.893   0.770   0.718   0.953
  41   0.1070   0.1560   0.889   0.791   0.729   0.974
  42   0.1069   0.1648   0.864   0.776   0.744   0.975
  43   0.0999   0.1685   0.864   0.816   0.760   0.955
  44   0.1054   0.1479   0.909   0.808   0.755   0.981
  45   0.0977   0.1598   0.910   0.786   0.745   0.982
  46   0.1014   0.1679   0.884   0.752   0.728   0.966
  47   0.0968   0.1756   0.877   0.751   0.723   0.974
  48   0.0941   0.1524   0.899   0.824   0.764   0.978
  49   0.0939   0.1486   0.892   0.825   0.763   0.978
  50   0.0939   0.1594   0.873   0.797   0.754   0.975
  51   0.0908   0.1640   0.885   0.776   0.747   0.978
  52   0.0949   0.1594   0.874   0.818   0.772   0.980
  53   0.0933   0.1660   0.880   0.769   0.715   0.967
  54   0.0889   0.1492   0.874   0.824   0.772   0.981
  55   0.0862   0.1557   0.882   0.822   0.774   0.976
  56   0.0845   0.1561   0.894   0.812   0.778   0.971
  57   0.0872   0.1560   0.905   0.792   0.749   0.972
  58   0.0843   0.1638   0.872   0.803   0.746   0.969
  59   0.0833   0.1632   0.878   0.794   0.754   0.972
  60   0.0835   0.1539   0.870   0.825   0.782   0.978
  61   0.0817   0.1595   0.899   0.794   0.755   0.978
  62   0.0830   0.1537   0.889   0.809   0.751   0.979
  63   0.0805   0.1459   0.913   0.815   0.767   0.980
  64   0.0834   0.1467   0.901   0.831   0.791   0.976
  65   0.0804   0.1359   0.916   0.838   0.796   0.983
  66   0.0807   0.1459   0.910   0.833   0.777   0.979
  67   0.0785   0.1585   0.890   0.814   0.771   0.976
  68   0.0771   0.1550   0.888   0.821   0.781   0.977
  69   0.0789   0.1560   0.891   0.831   0.780   0.977
  70   0.0790   0.1535   0.873   0.813   0.779   0.975
  71   0.0769   0.1475   0.903   0.826   0.767   0.981
  72   0.0757   0.1569   0.906   0.801   0.773   0.981
  73   0.0732   0.1483   0.891   0.830   0.778   0.982
  74   0.0744   0.1505   0.898   0.810   0.767   0.980
  75   0.0792   0.1564   0.879   0.830   0.792   0.965
  76   0.0758   0.1540   0.891   0.808   0.783   0.975
  77   0.0736   0.1519   0.877   0.838   0.786   0.977
  78   0.0736   0.1509   0.890   0.822   0.774   0.980
  79   0.0735   0.1572   0.886   0.811   0.773   0.970
  80   0.0710   0.1439   0.904   0.823   0.777   0.983
  81   0.0693   0.1721   0.891   0.767   0.693   0.976
  82   0.0727   0.1406   0.903   0.840   0.795   0.982
  83   0.0741   0.1597   0.893   0.809   0.765   0.982
  84   0.0712   0.1486   0.893   0.827   0.775   0.981
  85   0.0688   0.1495   0.882   0.818   0.770   0.977
  86   0.0671   0.1509   0.895   0.819   0.754   0.979
  87   0.0671   0.1514   0.897   0.818   0.766   0.980
  88   0.0679   0.1509   0.894   0.833   0.783   0.979
  89   0.0679   0.1539   0.897   0.813   0.764   0.977
  90   0.0671   0.1410   0.909   0.829   0.787   0.980
  91   0.0650   0.1495   0.907   0.818   0.779   0.981
Early stop @ ep 91

  OOD R² — nu=0.8368  rg=0.9307  A0=nan

============================================================
SATURATION SUMMARY (mean ± std across seeds)
============================================================
 n_train            nu            rg            A0
